GephiData
idItem,date,client,usercategory,profile,location,typeTrans,amount,balance,clientB,profileB,locationB,balanceB,Class,suspicious
102,2013-11-09 01:29:59,C1292708304,1,1,2,3,6999.73,7561.67,F1370110463,2,2,16227.02,2,1
104,2014-01-18 20:13:18,C166199244,3,1,0,4,34896.52,5902.29,C1256950636,1,6,31612.32,0,0
105,2013-09-29 16:49:29,C1599432265,3,1,0,4,22313.61,13317.18,C1160732552,2,0,11381.02,0,0
106,2013-11-03 20:43:19,C1218170836,2,1,1,4,21415.91,33377.70,C1778098456,1,1,33318.62,0,0
109,2013-12-28 02:38:42,C969586702,4,1,5,3,13543.56,294.50,C903239994,2,3,18313.39,0,0
110,2013-10-15 10:38:46,C1310603862,4,1,0,5,33023.71,24880.64,C775654042,1,1,14256.11,0,0
116,2014-01-19 16:55:25,C1695183804,4,1,3,3,15136.94,6800.90,C1319449395,1,2,23446.08,0,0
119,2013-11-09 10:35:51,C1083625945,4,1,1,3,33690.25,7196.23,C667056428,1,1,20259.34,0,0
121,2014-01-06 09:26:42,C1335092343,3,2,6,3,65417.78,116763.99,C1887241390,1,2,936.68,0,0
123,2013-09-01 08:51:49,C927403042,4,2,2,4,55293.78,104015.27,C1229283336,1,1,20746.01,0,0
124,2013-12-03 19:57:00,C155774141,3,1,2,4,718.14,30187.45,C425206657,1,2,33637.54,0,0
125,2013-10-14 02:34:55,C425573507,1,1,1,2,29780.39,20226.17,null,null,null,0.00,0,0
127,2014-01-31 09:33:37,C351390357,1,1,1,1,7593.19,24495.14,null,null,null,0.00,0,0
128,2013-12-21 02:01:30,C497224280,1,1,3,5,12443.34,27008.44,F732069638,2,3,16335.68,1,1
129,2013-12-14 18:47:43,C1960764652,1,2,1,3,30064.14,12331.26,C66743368,2,0,81647.22,0,0
131,2014-02-11 03:19:34,C724558576,2,1,0,3,27434.37,20209.88,C268900926,1,6,25693.47,0,0
133,2013-10-21 14:40:06,C2084705502,1,1,6,4,30313.63,28119.93,C1795917138,1,0,34330.97,0,0
138,2014-01-07 17:55:14,C1643229444,4,2,5,2,95732.49,1122.74,null,null,null,0.00,0,0
140,2014-01-01 07:57:17,C1664573878,4,1,5,3,17749.56,8426.24,C83777191,1,1,2625.86,0,0
141,2013-10-05 10:26:59,C844788033,2,1,4,2,12103.57,27710.46,null,null,null,0.00,0,0
144,2013-12-22 13:11:34,C765037063,4,1,2,4,22096.89,33859.13,F1360814716,2,6,27043.72,1,1
146,2013-11-27 07:12:54,C1349421533,3,1,0,5,27053.08,1566.02,F1911048516,2,4,6552.72,2,1
147,2013-10-04 05:25:59,C724558576,2,1,0,4,27116.79,32603.59,C268900926,2,6,11137.42,0,0
148,2013-09-27 01:42:51,C1360814716,4,2,4,4,105691.01,93357.34,C1987864945,1,4,56379.62,0,0
149,2013-10-11 19:31:24,C1590431766,3,1,5,2,28595.48,10419.31,null,null,null,0.00,0,0
150,2013-12-28 00:27:35,C1090724759,1,1,0,4,22004.78,24722.92,C2131781898,1,0,7274.59,0,0
152,2013-09-09 07:19:56,C1331891870,2,1,2,4,13424.53,31350.15,C1456052343,1,3,9404.74,0,0
155,2013-12-31 08:25:06,C87349858,4,1,0,3,10602.73,8957.84,C1911642983,1,0,80.11,0,0
156,2014-01-14 15:23:27,C305414881,3,1,6,2,81.58,13349.68,null,null,null,0.00,0,0
159,2014-02-08 10:32:03,C690552116,1,1,1,3,28731.79,3622.11,C2095352262,1,1,33222.87,0,0
160,2013-11-25 03:34:33,C1042670264,3,1,2,4,13129.96,4224.19,C1029319801,1,2,1859.24,0,0
162,2014-01-16 18:23:40,C1553281132,1,1,0,3,25160.22,11785.26,F57527900,2,0,23351.91,3,1
163,2013-10-03 03:49:37,C527082038,3,2,1,5,91345.06,61000.55,C96256554,1,1,123300.96,0,0
167,2013-09-14 10:09:25,C1189878957,3,1,0,1,30584.13,16010.49,null,null,null,0.00,0,0
168,2014-02-22 15:14:32,C1501829614,4,1,2,1,24209.92,20140.93,null,null,null,0.00,0,0
169,2013-10-05 07:07:17,C349894096,3,1,6,5,25583.29,5613.04,C1346359419,1,0,4139.88,0,0
170,2014-01-02 01:09:19,C398680597,4,1,0,5,20714.57,24202.34,C2133765159,1,0,17799.38,0,0
171,2013-09-06 05:34:47,C1574352634,4,1,1,5,33695.70,21943.14,C1435454091,1,3,31495.75,0,0
172,2014-01-15 13:58:43,C254764481,4,1,1,3,8338.83,3732.65,C1140281,1,1,32586.00,0,0
173,2014-01-08 10:14:55,C677219620,2,2,2,4,7141.39,123000.22,C244218438,1,1,83127.04,0,0
175,2013-09-17 11:20:43,C538493089,1,1,1,4,13938.61,6818.54,C1425963856,1,1,15333.28,0,0
176,2014-01-05 03:59:59,C2011298887,2,1,6,1,15830.76,2951.34,null,null,null,0.00,0,0
178,2014-02-02 17:29:00,C1012598604,3,1,4,4,5786.86,22210.52,F1749832834,2,4,11805.50,1,1
179,2014-03-03 13:55:01,C313972303,2,1,3,4,16748.85,26166.20,C1881909680,1,2,18142.97,0,0
180,2013-11-17 06:17:44,C1896561093,4,1,0,2,32296.44,25352.37,null,null,null,0.00,0,0
187,2014-01-26 23:20:13,C1171514533,3,1,0,3,18858.97,13873.05,C512091262,2,4,15173.11,0,0
189,2013-12-13 13:09:11,C2084705502,2,1,6,4,9866.11,3993.59,C1045801907,1,0,14424.73,0,0
192,2014-01-24 21:42:10,C377865944,4,1,0,2,6881.73,32748.46,null,null,null,0.00,0,0
194,2013-10-11 23:51:55,C1927016528,3,1,0,2,32629.87,34178.94,null,null,null,0.00,0,0
196,2013-10-20 20:04:44,C1220504260,2,1,3,2,3749.94,29873.55,null,null,null,0.00,0,0
200,2014-02-07 02:09:51,C674270306,2,1,2,4,8604.43,17366.94,C847703900,2,5,18196.91,0,0
201,2013-11-08 06:37:41,F698858500,1,2,0,2,55230.38,105353.88,null,null,null,0.00,2,1
202,2013-10-28 05:37:02,C2020706645,4,1,5,2,34350.31,11938.31,null,null,null,0.00,0,0
203,2014-02-17 02:23:43,C866780087,3,1,5,3,1395.94,16719.84,C103590485,1,1,34629.24,0,0
206,2014-01-01 05:10:53,C426616968,1,1,5,3,6996.29,28884.84,C1835904886,1,5,16552.26,0,0
207,2014-01-18 16:54:01,C905856813,2,1,0,5,17126.00,25713.75,C192678515,1,0,34815.11,0,0
208,2014-02-09 01:54:15,C385827529,1,1,0,2,3450.08,16600.71,null,null,null,0.00,0,0
209,2013-12-25 17:45:45,C1821448086,3,1,6,4,27410.84,471.05,C2027151170,1,0,25082.75,0,0
210,2013-12-31 07:20:13,C1960764652,3,1,4,1,32250.39,22379.59,null,null,null,0.00,0,0
212,2014-01-14 22:36:34,C538471155,2,1,2,4,30930.53,13546.67,C2102716785,1,2,17433.24,0,0
215,2014-03-06 17:12:59,C861617804,3,1,2,4,2743.78,13451.41,C553280777,1,0,27752.30,0,0
216,2013-09-11 15:07:28,C1169127143,3,1,3,2,22491.79,32640.47,null,null,null,0.00,0,0
218,2014-01-26 20:04:56,C491809540,3,1,4,4,13632.35,7742.66,C2128571780,2,5,27423.96,0,0
220,2014-02-19 02:10:17,C1177067914,4,1,3,2,33966.12,16168.62,null,null,null,0.00,0,0
221,2013-09-03 12:21:21,C661425340,3,1,0,5,24239.07,31448.44,C2000876478,1,6,13874.11,0,0
222,2013-09-08 05:42:48,C1634198970,4,1,0,5,11339.14,30975.18,C1436687485,1,0,13774.07,0,0
223,2013-10-21 23:19:55,C785238630,4,1,1,5,7206.82,12393.84,C1623401044,1,0,15210.79,0,0
224,2014-02-12 12:51:30,C831102936,3,1,0,3,25894.86,32595.16,C390728594,1,6,26107.53,0,0
225,2013-09-22 05:20:24,C288649079,2,1,6,5,18350.16,5656.14,C2068808719,1,1,28832.01,0,0
227,2013-10-21 10:15:15,C1489159497,2,1,3,1,14383.17,21380.96,null,null,null,0.00,0,0
229,2014-02-17 06:01:32,C1171514533,2,1,3,4,23217.12,15887.94,C1405288270,1,4,33948.88,0,0
230,2013-10-30 05:35:20,C1619433273,1,1,0,4,7370.23,7065.49,C737495274,1,0,9317.47,0,0
231,2013-11-09 08:05:50,F131506806,1,2,1,1,21102.62,46321.53,null,null,null,0.00,1,1
233,2013-10-02 13:24:11,F1456879531,1,2,2,4,8626.91,12679.68,F131506806,2,1,131531.87,3,1
234,2013-11-07 11:22:54,C1385363490,1,1,5,2,9405.32,22270.03,null,null,null,0.00,0,0
236,2014-01-27 20:29:57,C750632600,4,1,6,4,18322.82,25484.06,C1874255686,1,1,25776.64,0,0
237,2014-01-16 00:40:47,C1669100202,3,1,6,3,28230.95,31062.29,C1824364253,1,3,24835.19,0,0
240,2014-02-28 20:22:47,C281969267,4,1,3,4,554.01,28832.11,C1594691056,1,3,24385.85,0,0
243,2013-10-30 10:51:31,C2052683410,4,1,6,4,12039.87,21888.79,F426448626,2,2,15279.29,3,1
244,2013-10-12 11:59:56,C1966042243,4,1,6,4,9201.31,4077.34,C416360571,1,0,1890.45,0,0
245,2013-12-30 03:27:29,C773599330,3,1,6,3,25807.84,5802.09,C238798627,1,3,16222.04,0,0
246,2013-12-22 14:51:52,C48240519,3,1,3,1,5665.85,16199.10,null,null,null,0.00,0,0
248,2014-02-15 00:13:57,C694849048,2,1,1,2,22832.20,13585.66,null,null,null,0.00,0,0
252,2014-03-19 03:56:23,C1017940372,3,1,6,3,21644.77,10745.22,C1370829217,2,1,26678.17,0,0
253,2013-09-08 06:00:41,C171802676,3,1,2,5,20299.02,9181.97,C137836553,1,2,12657.93,0,0
254,2014-01-26 20:52:10,C1998514976,4,1,0,5,11856.29,16975.38,C302200879,1,0,16982.87,0,0
259,2013-12-08 04:53:45,C315561689,1,1,4,1,29462.50,6501.31,null,null,null,0.00,0,0
263,2013-12-01 13:26:35,C1293820898,3,1,0,3,15400.28,27353.53,C1194940990,1,0,26397.45,0,0
264,2013-12-10 00:31:39,C1927016528,1,1,2,3,2122.71,12001.36,C720081153,1,2,21231.42,0,0
266,2014-01-23 05:56:06,C549088027,3,1,1,5,5686.94,6541.61,F907618129,2,0,31693.41,2,1
268,2013-12-13 02:29:15,C2135536423,3,1,0,5,34558.53,29031.10,C977379734,1,6,12445.53,0,0
269,2013-11-19 19:32:44,C253000780,2,2,3,5,13564.06,22864.50,C833391859,1,6,119978.87,0,0
271,2013-09-05 17:40:46,C69484129,4,1,0,3,15155.91,12288.77,C387688567,1,0,4219.37,0,0
272,2013-10-09 14:34:11,C83664374,4,1,1,4,8359.72,2974.18,C275058964,1,0,12983.22,0,0
274,2013-12-09 01:22:01,C438786606,4,1,0,4,33016.99,20000.50,C1689543676,1,0,32402.00,0,0
277,2013-09-03 22:51:15,C655224722,1,1,0,4,5267.39,4877.13,C1437165355,1,0,5185.95,0,0
282,2013-10-31 22:51:41,C1615263967,4,2,3,5,70102.58,91367.04,C806175628,2,3,78774.89,0,0
283,2014-02-02 15:33:40,C1141633833,4,2,2,4,115561.68,11037.64,C1679394087,1,6,74769.99,0,0
284,2013-09-22 23:27:41,C2085136083,2,1,3,2,32750.79,21533.99,null,null,null,0.00,0,0
286,2013-09-02 03:46:03,C1489159497,2,2,1,2,14962.08,7035.30,null,null,null,0.00,0,0
287,2013-12-10 02:57:10,C456672873,4,1,5,4,33611.13,18155.65,C1256453766,2,2,27071.92,0,0
288,2014-01-06 15:26:41,C363852544,3,2,5,4,18989.88,10246.90,C2039438366,1,0,43489.40,0,0
289,2013-11-02 21:48:58,C534503107,3,1,5,2,33824.22,9452.09,null,null,null,0.00,0,0
290,2014-02-01 16:24:05,C1879678323,3,1,1,1,8000.44,14790.99,null,null,null,0.00,0,0
291,2013-11-23 00:42:51,F1749832834,1,2,4,2,1637.89,56224.09,null,null,null,0.00,1,1
292,2013-09-09 02:48:20,C1875979551,4,1,1,5,18532.85,24229.99,C44522351,1,0,12126.18,0,0
294,2013-11-17 01:13:43,C1638562468,3,1,5,5,31729.31,13011.93,C666842428,1,5,27649.89,0,0
295,2014-01-06 10:29:39,C1450603667,3,1,5,2,6870.26,9395.67,null,null,null,0.00,0,0
296,2013-10-30 15:10:43,C1261953562,4,2,0,4,93208.05,134478.10,C55808098,1,0,65363.54,0,0
297,2013-10-18 08:13:23,C748518452,3,1,0,5,20887.22,17751.04,C854907963,1,0,23444.80,0,0
298,2013-10-09 23:09:58,C439840377,2,1,3,4,6034.13,3064.40,C1312853052,1,3,18107.75,0,0
299,2014-01-11 06:57:47,C1042670264,3,1,2,3,3588.77,33759.84,C345932836,1,6,26570.76,0,0
301,2013-09-05 00:29:05,C422801323,3,1,6,2,23496.28,32884.88,null,null,null,0.00,0,0
302,2013-11-17 15:20:07,C617437673,1,1,1,1,10788.71,23964.56,null,null,null,0.00,0,0
304,2014-01-10 02:00:14,C715492196,3,1,1,1,20119.25,32399.46,null,null,null,0.00,0,0
306,2013-12-20 03:16:00,C1421360400,3,1,6,2,34584.06,12105.15,null,null,null,0.00,0,0
308,2013-10-21 19:34:25,C359199471,1,1,0,4,30978.84,24055.20,C657736953,2,3,28496.38,0,0
311,2014-02-17 08:36:48,C541962468,1,1,4,4,7915.02,4202.22,F114342622,2,5,9446.14,3,1
314,2013-10-16 04:33:26,C1335092343,1,1,5,4,3570.60,17299.59,C1805244225,1,0,2462.43,0,0
315,2013-09-02 23:57:14,C661141334,1,1,0,4,22627.30,26006.31,C1939793832,2,1,5599.10,0,0
318,2013-10-07 23:54:15,F1732672958,1,2,1,3,94577.54,85689.97,C1435454091,2,1,101593.56,0,0
323,2014-01-18 22:05:28,C1547105498,2,1,0,5,23952.10,17747.16,C1360814716,1,5,8051.86,0,0
324,2013-09-25 05:33:12,C2051017350,2,1,6,2,8098.22,32517.32,null,null,null,0.00,0,0
328,2013-09-13 20:49:14,C659416804,2,2,4,3,80453.70,11051.68,C268342100,1,5,4379.29,0,0
329,2013-10-03 05:30:43,F942175572,1,2,5,2,118386.65,116961.30,null,null,null,0.00,3,1
330,2013-09-15 05:45:30,C1775035922,4,1,2,3,33500.46,29057.76,C884051098,1,4,31857.70,0,0
331,2014-01-28 12:04:28,F1750866905,1,2,4,4,11104.18,65416.42,null,null,null,0.00,2,1
332,2013-09-03 16:07:08,C1751432579,2,1,1,4,9417.23,17733.29,C2031326090,1,6,28713.26,0,0
335,2014-02-23 12:46:48,C617437673,2,1,0,4,6051.41,8314.15,C1772535711,1,0,31476.97,0,0
337,2013-12-06 10:41:39,C187598510,1,1,0,4,17064.56,16968.11,C1457015443,1,6,13100.94,0,0
339,2013-11-11 07:14:59,C475505206,1,2,3,1,93289.28,35963.69,null,null,null,0.00,0,0
340,2013-10-11 22:27:33,C1837541424,3,1,0,5,18253.16,15162.94,C1459361227,1,3,15674.53,0,0
341,2013-09-12 02:45:24,C702954959,3,1,6,1,15860.88,18892.69,null,null,null,0.00,0,0
344,2014-01-19 13:38:00,C1066469050,1,1,0,4,16139.27,25989.22,C863001717,1,6,11899.54,0,0
345,2014-02-10 06:41:13,C1751432579,1,1,5,2,19042.88,5590.39,null,null,null,0.00,0,0
348,2013-12-29 18:40:23,C166199244,3,1,0,3,23574.71,23981.63,C293761474,1,0,17444.40,0,0
349,2013-09-01 21:03:32,C1350149610,3,2,0,3,103802.07,109487.74,C1749380553,1,6,34295.40,0,0
353,2013-10-25 17:29:34,C1085786565,4,1,5,5,25159.86,9457.19,F114342622,2,5,29607.88,3,1
355,2013-12-24 01:21:34,C1664573878,2,2,6,5,84463.29,13210.81,C748079940,1,6,94491.26,0,0
357,2013-11-29 03:22:44,C1514680435,2,1,3,5,20084.70,28219.13,C1319449395,2,3,7467.24,0,0
358,2013-12-13 04:25:45,C877891686,3,2,5,1,121455.75,7392.86,null,null,null,0.00,0,0
360,2014-01-03 01:19:45,C1575710763,1,1,0,5,31296.30,14885.34,C856398846,1,1,933.95,0,0
362,2013-09-13 18:45:19,C1216997169,4,1,0,4,14234.70,17071.47,C1312679647,2,0,11099.84,0,0
363,2014-01-17 13:21:31,C231924667,2,1,1,4,2937.92,5479.34,C879114350,1,1,24682.02,0,0
365,2013-09-15 16:38:40,C778785766,4,1,0,4,17359.01,621.90,C347629531,1,0,8098.50,0,0
366,2013-09-28 04:19:02,F2062912608,1,2,2,3,72558.78,24632.99,C1834620737,1,1,117804.07,0,0
367,2013-09-18 04:13:41,C596912073,2,2,5,1,33587.52,82267.55,null,null,null,0.00,0,0
369,2014-01-19 14:04:32,C315561689,3,1,3,2,27407.42,10282.62,null,null,null,0.00,0,0
370,2014-03-03 19:24:45,C1995382092,3,1,0,3,28194.21,24027.25,F2062912608,2,2,2429.69,1,1
371,2014-02-05 16:14:22,C188420353,2,1,0,3,29162.54,7378.78,C395677397,2,1,16747.88,0,0
372,2014-03-12 15:43:11,C841975445,1,1,1,4,27068.30,24712.58,F283407368,2,1,24072.37,1,1
374,2014-01-26 01:04:13,C2085136083,4,1,0,4,1099.13,21374.51,C439089253,1,6,28631.80,0,0
376,2014-01-31 19:07:48,C64141747,4,1,1,4,18497.22,34060.03,C198400674,1,2,11229.55,0,0
377,2013-09-18 09:03:37,C221690582,2,1,0,3,6182.47,22225.92,C1721197620,1,0,28768.57,0,0
378,2013-11-07 13:13:18,C1179558163,1,1,0,5,8016.50,8359.33,C1939979416,1,0,13076.45,0,0
379,2013-12-08 01:17:59,C1875686811,3,1,1,5,2398.07,15634.73,C1527201346,2,1,25307.37,0,0
387,2013-10-19 00:13:47,F1732672958,1,2,1,2,126906.64,10210.46,null,null,null,0.00,2,1
389,2013-09-19 13:24:35,C1290608126,2,1,0,4,1281.02,34987.47,C1263515253,2,3,30795.35,0,0
391,2014-01-24 03:15:55,C377865944,4,1,0,2,22250.91,13542.82,null,null,null,0.00,0,0
393,2014-01-08 20:43:21,C1161209093,2,1,6,2,21252.70,16106.87,null,null,null,0.00,0,0
394,2013-11-04 14:30:43,C1141920509,3,1,6,5,11173.22,2216.29,C1014026039,1,2,26256.11,0,0
395,2013-11-02 07:48:15,C2135697900,4,2,3,4,47949.17,73111.31,C200859884,2,3,46008.46,0,0
396,2013-11-07 12:14:44,C1423708342,4,1,1,4,22595.59,25364.86,C1589934856,1,3,26104.05,0,0
397,2013-10-13 10:28:28,C408631784,4,1,2,3,26586.25,12467.01,C1479991999,1,1,16478.90,0,0
398,2014-01-10 15:53:59,C1690390044,4,1,3,4,12663.23,19350.73,C976528037,2,3,19918.62,0,0
400,2013-10-01 00:41:50,C767500534,2,2,3,1,82163.34,70323.85,null,null,null,0.00,0,0
401,2013-10-12 05:34:02,C736271865,3,1,0,2,34054.03,16714.67,null,null,null,0.00,0,0
402,2013-10-29 11:13:20,C856398846,1,1,4,5,17431.26,14486.85,F1459185606,2,4,10160.25,1,1
406,2013-10-26 18:03:54,C676188939,1,1,4,2,9941.83,33326.18,null,null,null,0.00,0,0
407,2013-11-27 22:21:54,C2146002580,4,1,3,4,25108.85,32929.65,C1160221948,1,4,4837.66,0,0
408,2013-10-23 22:41:01,C560411656,4,1,0,5,17268.49,34345.53,C685051954,1,0,17823.69,0,0
409,2013-12-26 04:11:22,C52340579,3,1,1,5,22922.74,22940.40,C413887675,1,6,8930.51,0,0
411,2013-12-27 11:21:57,C501285976,3,1,2,4,19480.27,30402.67,C775654042,1,2,6967.63,0,0
417,2013-12-19 19:15:18,F1749832834,1,2,4,2,70863.62,75368.40,null,null,null,0.00,1,1
420,2013-12-24 18:19:21,C73594452,1,1,3,4,490.11,30665.05,C817976996,1,2,18307.27,0,0
421,2013-09-07 04:17:55,C1390988288,2,1,3,2,18865.24,29156.78,null,null,null,0.00,0,0
422,2013-09-28 19:43:01,C1799379020,1,1,2,4,12593.53,32200.49,C1949925981,1,2,6312.92,0,0
423,2013-11-17 14:03:20,C2084305570,4,1,1,4,34634.17,27498.23,F1732672958,2,1,17537.30,2,1
425,2013-12-10 12:59:43,C1065060022,1,2,0,5,15795.43,2866.33,C1796679449,1,0,139117.97,0,0
426,2013-10-11 12:53:30,C1184772592,3,1,1,2,26686.09,18820.23,null,null,null,0.00,0,0
428,2014-02-11 22:11:03,C1508182580,4,1,2,3,9471.84,23349.77,C44522351,1,2,30434.82,0,0
429,2013-10-03 20:32:26,C877510695,1,1,3,4,33559.86,386.42,C222086435,2,3,27363.03,0,0
431,2013-11-25 06:51:05,C538493089,2,1,2,5,27340.97,4926.02,C1549271511,2,1,1919.66,0,0
432,2014-01-05 16:08:57,F1990234776,1,2,0,2,13368.49,34715.01,null,null,null,0.00,1,1
433,2013-09-28 12:25:11,C315780191,4,1,0,5,11411.18,31561.07,C30763712,1,1,10202.89,0,0
437,2014-01-21 17:51:57,C231924667,2,1,0,3,12144.58,10241.30,C5821410,1,6,8509.21,0,0
438,2014-01-07 23:31:16,C510930382,3,1,3,2,1080.84,3420.18,null,null,null,0.00,0,0
439,2014-01-20 18:28:19,C1531199604,3,2,1,2,66894.74,130623.50,null,null,null,0.00,0,0
440,2013-09-02 18:31:29,C777990524,3,2,0,4,91281.41,63024.07,C1244178423,1,0,19267.72,0,0
441,2013-10-16 08:33:20,C297768791,2,1,0,4,13927.75,32201.79,C438655580,1,0,34422.57,0,0
